file,direction,significant_lines,rule_lines,ai_lines,unmapped_lines,rule_coverage,round_trip,round_trip_diffs,golden,median_ms,min_ms,max_ms,repeats,simulator_load
c-rtr-branch.cfg,cisco->huawei,32,25,0,7,0.7812,pass,0,pass,0.2097,0.1894,0.3856,50,
c-rtr-minimal.cfg,cisco->huawei,6,6,0,0,1.0,pass,0,pass,0.0437,0.0391,0.083,50,
c-sw-distribution.cfg,cisco->huawei,52,36,0,16,0.6923,pass,0,pass,0.2883,0.2702,0.3695,50,
c-sw-large-trunk.cfg,cisco->huawei,13,13,0,0,1.0,pass,0,pass,0.0899,0.0835,0.1498,50,
rtr01-ospf.cfg,cisco->huawei,15,14,0,1,0.9333,pass,0,pass,0.0971,0.0914,0.1526,50,
sw01-access.cfg,cisco->huawei,18,18,0,0,1.0,pass,0,pass,0.0899,0.0862,0.1634,50,
h-rtr-ospf-multiarea.cfg,huawei->cisco,25,22,0,3,0.88,pass,0,pass,0.1506,0.1441,0.2457,50,
h-sw-campus.cfg,huawei->cisco,50,36,0,14,0.72,pass,0,pass,0.3059,0.278,0.3671,50,
h-sw-minimal.cfg,huawei->cisco,10,10,0,0,1.0,pass,0,pass,0.0479,0.0455,0.0955,50,
h-sw-wide-trunk.cfg,huawei->cisco,9,9,0,0,1.0,pass,0,pass,0.3938,0.3657,0.4268,50,
sw02-trunk.cfg,huawei->cisco,28,27,0,1,0.9643,pass,0,pass,0.1921,0.177,0.321,50,
